,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DESC,ENTRIES,EXITS,DATETIME,DAY,HOUR,WEEKDAY,PREV_DATE,PREV_ENTRIES,PREV_EXITS,TIME_DIFF,ENTRIES_DIFF,EXITS_DIFF,LATITUDE,LONGITUDE
1482703,N114,R297,01-00-02,FRANKLIN AV,ACS,IND,REGULAR,1687014,2400869,2018-09-02 13:00:00,2,13,7,2018-09-02 09:00:00,1686877,2400789,0 days 04:00:00.000000000,137,80,40.6807712,-73.95587139999999
546730,B024,R211,00-05-00,KINGS HWY,BQ,BMT,REGULAR,553648427,469762048,2016-09-16 04:00:00,16,4,5,2016-09-16 00:00:00,553648427,469762048,0 days 04:00:00.000000000,0,0,40.6088717,-73.9577807
2775730,R528,R097,00-03-01,JUNCTION BLVD,7,IRT,REGULAR,6585634,5991704,2016-09-13 04:00:00,13,4,2,2016-09-13 00:00:00,6585574,5991635,0 days 04:00:00.000000000,60,69,40.749203,-73.8693365
740506,R166,R167,02-00-02,86 ST,1,IRT,REGULAR,2618007,3077672,2018-08-27 09:00:00,27,9,1,2018-08-27 05:00:00,2617838,3077540,0 days 04:00:00.000000000,169,132,40.7769631,-73.9523007
407659,N095A,R014,01-00-04,FULTON ST,2345ACJZ,IND,REGULAR,10968,3273,2015-09-17 17:00:00,17,17,4,2015-09-17 13:00:00,10954,3272,0 days 04:00:00.000000000,14,1,40.709373,-74.0083258
293964,A049,R088,02-05-00,CORTLANDT ST,RNW,BMT,REGULAR,1058667464,22872086,2017-09-16 17:00:00,16,17,6,2017-09-16 13:00:00,1058667464,22872086,0 days 04:00:00.000000000,0,0,40.7110496,-74.0107859
2809559,R532H,R328,02-05-00,METS-WILLETS PT,7,IRT,REGULAR,572,0,2015-09-22 05:00:00,22,5,2,2015-09-22 01:00:00,572,0,0 days 04:00:00.000000000,0,0,40.75239,-73.8437
2688836,R501,R054,00-00-02,5 AVE,7BDFM,IRT,REGULAR,3697607,1909056,2016-09-11 08:00:00,11,8,7,2016-09-11 04:00:00,3697600,1909051,0 days 04:00:00.000000000,7,5,40.7649305,-73.9725117
916744,H022,R279,00-00-01,JEFFERSON ST,L,BMT,REGULAR,1567718,533866,2016-08-31 04:00:00,31,4,3,2016-08-31 00:00:00,1567711,533856,0 days 04:00:00.000000000,7,10,40.7138691,-74.0097225
303814,A050,R088,00-06-00,CORTLANDT ST,R,BMT,REGULAR,267080,78988,2015-09-23 01:00:00,23,1,3,2015-09-22 21:00:00,267070,78986,0 days 04:00:00.000000000,10,2,40.7110496,-74.0107859
697988,C019,R232,00-00-01,45 ST,R,BMT,REGULAR,62725,60319,2016-09-19 00:00:00,19,0,1,2016-09-18 20:00:00,62673,60207,0 days 04:00:00.000000000,52,112,40.648939,-74.01000599999999
1443858,R216,R322,01-00-02,SPRING ST,6,IRT,REGULAR,1814102,10974523,2016-09-14 16:00:00,14,16,3,2016-09-14 12:00:00,1813927,10973316,0 days 04:00:00.000000000,175,1207,40.7223253,-73.99712439999999
758503,C027,R216,00-00-02,BAY RIDGE-95 ST,R,BMT,REGULAR,2914618,3128105,2018-08-29 12:00:00,29,12,3,2018-08-29 08:00:00,2914456,3128039,0 days 04:00:00.000000000,162,66,40.6167174,-74.0308527
583656,B032,R264,00-00-00,OCEAN PKWY,Q,BMT,REGULAR,16265,10043,2016-09-23 04:00:00,23,4,5,2016-09-23 00:00:00,16254,10034,0 days 04:00:00.000000000,11,9,40.5762715,-73.96850909999999
258918,A066,R118,00-00-00,CANAL ST,JNQRZ6,BMT,REGULAR,9090688,6519193,2015-09-09 05:00:00,9,5,3,2015-09-09 01:00:00,9090662,6519173,0 days 04:00:00.000000000,26,20,40.7195147,-74.0017857
335488,A061,R142,00-00-01,DELANCEY/ESSEX,FJMZ,BMT,REGULAR,10798716,3496115,2018-09-02 13:00:00,2,13,7,2018-09-02 09:00:00,10798716,3496115,0 days 04:00:00.000000000,0,0,40.718613,-73.988113
1936160,N519A,R461,01-00-00,B'WAY-LAFAYETTE,BDFQ6,IND,REGULAR,365118,1081000,2016-09-23 13:00:00,23,13,5,2016-09-23 09:00:00,364972,1079998,0 days 04:00:00.000000000,146,1002,40.7250151,-73.9956959
2427355,R210,R044,00-06-01,BROOKLYN BRIDGE,456JZ,IRT,REGULAR,822468843,637798963,2015-09-17 12:00:00,17,12,4,2015-09-17 08:00:00,822468403,637798372,0 days 04:00:00.000000000,440,591,40.7130543,-74.00410269999999
1702388,N309A,R140,00-02-00,QUEENS PLAZA,EMR,IND,REGULAR,51017951,17079784,2018-08-28 09:00:00,28,9,2,2018-08-28 05:00:00,51017484,17079703,0 days 04:00:00.000000000,467,81,40.74893590000001,-73.9373695
1432347,N083,R138,01-05-01,W 4 ST-WASH SQ,ABCDEFM,IND,REGULAR,117440512,95,2016-08-30 09:00:00,30,9,2,2016-08-30 05:00:00,117440512,95,0 days 04:00:00.000000000,0,0,40.7311072,-74.00123119999999
1243188,R251,R144,00-00-01,96 ST,6,IRT,REGULAR,21828963,7866526,2016-09-02 13:00:00,2,13,5,2016-09-02 09:34:58,21828330,7866354,0 days 03:25:02.000000000,633,172,40.7839341,-73.9476064
2737394,R520,R223,01-05-00,46 ST BLISS ST,7,IRT,REGULAR,1734,0,2016-09-02 12:00:00,2,12,5,2016-09-02 08:00:00,1733,0,0 days 04:00:00.000000000,1,0,40.7430528,-73.91824299999999
207390,A034,R170,03-03-02,14 ST-UNION SQ,LNQR456W,BMT,REGULAR,9232832,1008263,2017-09-09 05:00:00,9,5,6,2017-09-09 01:00:00,9232621,1008254,0 days 04:00:00.000000000,211,9,40.7348024,-73.990753
979200,J017,R432,00-00-02,CHAUNCEY ST,JZ,BMT,REGULAR,947972,835584,2017-09-16 09:00:00,16,9,6,2017-09-16 05:00:00,947871,835556,0 days 04:00:00.000000000,101,28,40.682893,-73.910456
1638540,N218,R112,01-05-01,FORDHAM RD,BD,IND,REGULAR,0,576,2018-09-03 12:00:00,3,12,1,2018-09-03 08:00:00,0,576,0 days 04:00:00.000000000,0,0,40.8628682,-73.9011137
1632805,N215,R237,00-00-00,182-183 STS,BD,IND,REGULAR,12160861,5785557,2016-09-18 00:00:00,18,0,7,2016-09-17 20:00:00,12160739,5785470,0 days 04:00:00.000000000,122,87,40.8560934,-73.90102949999999
1173123,R258,R132,00-03-00,125 ST,456,IRT,REGULAR,2678494,2974934,2015-09-19 17:00:00,19,17,6,2015-09-19 13:00:00,2678251,2974561,0 days 04:00:00.000000000,243,373,40.8043863,-73.9374292
675660,C012,R258,01-06-02,4AV-9 ST,DFGMNR,BMT,REGULAR,743532,673026,2017-09-19 04:00:00,19,4,2,2017-09-19 00:00:00,743516,672999,0 days 04:00:00.000000000,16,27,40.6698964,-73.9891106
593006,R601A,R108,02-00-05,BOROUGH HALL,2345R,IRT,REGULAR,3484389,5443981,2017-09-01 04:00:00,1,4,5,2017-09-01 00:00:00,3484384,5443967,0 days 04:00:00.000000000,5,14,40.6931492,-73.9900883
2880855,R627,R063,00-00-00,SUTTER AV-RUTLD,3,IRT,REGULAR,13692425,4857663,2016-09-01 12:00:00,1,12,4,2016-09-01 08:00:00,13691256,4857573,0 days 04:00:00.000000000,1169,90,40.6649921,-73.92290849999999
1066190,K026,R100,00-05-00,METROPOLITAN AV,M,BMT,REGULAR,53,3,2016-09-15 16:00:00,15,16,4,2016-09-15 12:00:00,53,3,0 days 04:00:00.000000000,0,0,40.7139225,-73.9493905
2907817,R645,R110,00-05-01,FLATBUSH AV-B.C,25,IRT,REGULAR,0,343,2018-09-08 09:00:00,8,9,6,2018-09-08 05:00:00,0,343,0 days 04:00:00.000000000,0,0,40.6608788,-73.9621109
226451,A038,R085,00-00-02,8 ST-NYU,NRW,BMT,REGULAR,13027668,1485766,2018-08-26 00:00:00,26,0,7,2018-08-25 20:00:00,13027245,1485722,0 days 04:00:00.000000000,423,44,40.7306255,-73.9926698
2583909,R323,R387,00-00-04,WEST FARMS SQ,25,IRT,REGULAR,420823374,50581863,2017-09-09 21:00:00,9,21,6,2017-09-09 17:00:00,420823229,50581834,0 days 04:00:00.000000000,145,29,40.8405859,-73.8796649
2760869,R526,R096,00-03-02,82 ST-JACKSON H,7,IRT,REGULAR,1267867,718785,2017-09-26 04:00:00,26,4,2,2017-09-26 00:00:00,1267854,718779,0 days 04:00:00.000000000,13,6,40.74765900000001,-73.883697
2409828,R201,R041,00-03-01,BOWLING GREEN,45,IRT,REGULAR,5187401,5058587,2015-09-07 20:00:00,7,20,1,2015-09-07 16:00:00,5187289,5058549,0 days 04:00:00.000000000,112,38,40.7048108,-74.0144596
207952,A034,R170,03-06-00,14 ST-UNION SQ,LNQR456,BMT,REGULAR,118649413,569641,2016-09-11 05:00:00,11,5,7,2016-09-11 01:00:00,118649383,569641,0 days 04:00:00.000000000,30,0,40.7348024,-73.990753
1919982,N502,R021,01-00-03,42 ST-BRYANT PK,BDFM7,IND,REGULAR,6812240,2712882,2017-09-15 20:00:00,15,20,5,2017-09-15 16:00:00,6810769,2712733,0 days 04:00:00.000000000,1471,149,40.7548368,-73.9841215
2940428,S102,R165,00-00-00,TOMPKINSVILLE,1,SRT,REGULAR,552855,12,2018-09-14 18:00:00,14,18,5,2018-09-14 14:00:00,552800,12,0 days 04:00:00.000000000,55,0,40.6376266,-74.07502889999999
2327133,R121,R290,01-05-01,HOUSTON ST,1,IRT,REGULAR,458752,60,2016-08-31 09:00:00,31,9,3,2016-08-31 05:00:00,458752,60,0 days 04:00:00.000000000,0,0,40.7286024,-74.0053168
717554,R248,R178,00-00-04,77 ST,6,IRT,REGULAR,16732570,4385044,2017-09-28 17:00:00,28,17,4,2017-09-28 13:00:00,16731938,4384947,0 days 04:00:00.000000000,632,97,40.7735072,-73.95974269999999
2284837,R110,R027,01-00-00,WALL ST,23,IRT,REGULAR,4021766,6054037,2017-09-25 00:00:00,25,0,1,2017-09-24 20:00:00,4021766,6054030,0 days 04:00:00.000000000,0,7,40.7064046,-74.0095219
836397,E005,R247,00-00-01,55 ST,D,BMT,REGULAR,3037749,2933155,2017-09-07 12:00:00,7,12,4,2017-09-07 08:00:00,3037636,2933065,0 days 04:00:00.000000000,113,90,40.6315514,-73.9956328
56372,A014,R081,02-06-00,49 ST,NQR,BMT,REGULAR,600564,2149510,2016-09-09 08:00:00,9,8,5,2016-09-09 04:00:00,600564,2149500,0 days 04:00:00.000000000,0,10,40.7598372,-73.9841825
1742567,N323,R018,01-00-02,JKSN HT-ROOSVLT,EFMR7,IND,REGULAR,2276202,2254141,2018-08-26 08:00:00,26,8,7,2018-08-26 04:00:00,2276115,2254076,0 days 04:00:00.000000000,87,65,40.746739,-73.8909986
2631155,R406,R448,00-00-02,E 143/ST MARY'S,6,IRT,REGULAR,970763,242839,2018-09-10 01:00:00,10,1,1,2018-09-09 21:00:00,970761,242836,0 days 04:00:00.000000000,2,3,40.8082006,-73.9078528
2624135,R402,R446,00-00-02,BROOK AV,6,IRT,REGULAR,5141411,1156865,2018-09-20 21:00:00,20,21,4,2018-09-20 17:00:00,5141266,1156818,0 days 04:00:00.000000000,145,47,40.8075666,-73.91926629999999
1393759,N078,R175,01-00-01,14 ST,ACEL,IND,REGULAR,7446773,9347766,2015-09-11 21:00:00,11,21,5,2015-09-11 17:00:00,7446260,9347232,0 days 04:00:00.000000000,513,534,40.7348024,-73.990753
1216096,R252,R180,00-00-00,103 ST,6,IRT,REGULAR,36180917,505316133,2018-08-31 01:00:00,31,1,5,2018-08-30 21:00:00,36180779,505315934,0 days 04:00:00.000000000,138,199,40.7902308,-73.9477564
1292594,R158,R084,00-06-02,59 ST COLUMBUS,1ABCD,IRT,REGULAR,1122992,505614,2016-09-13 16:00:00,13,16,2,2016-09-13 12:00:00,1122506,505416,0 days 04:00:00.000000000,486,198,40.7684839,-73.981807
2242007,PTH19,R549,02-02-03,NEWARK C,1,PTH,REGULAR,109515,2988,2017-08-27 10:41:20,27,10,7,2017-08-27 06:29:20,109515,2988,0 days 04:12:00.000000000,0,0,40.750568,-73.993519
2654488,R415,R120,00-03-01,MORISN AV/SNDVW,6,IRT,REGULAR,150916,43961,2018-09-15 20:00:00,15,20,6,2018-09-15 16:00:00,150678,43854,0 days 04:00:00.000000000,238,107,40.8294898,-73.8746754
261021,N089,R139,00-00-00,CANAL ST,ACE,IND,REGULAR,5127263,13401906,2015-08-31 16:00:00,31,16,1,2015-08-31 12:00:00,5127129,13401443,0 days 04:00:00.000000000,134,463,40.7195147,-74.0017857
1219327,R252,R180,00-03-02,103 ST,6,IRT,REGULAR,7291091,24771237,2016-09-14 01:00:00,14,1,3,2016-09-13 21:00:00,7290979,24770762,0 days 04:00:00.000000000,112,475,40.7902308,-73.9477564
680078,R315,R406,01-00-00,PROSPECT AV,25,IRT,REGULAR,822314,1324412,2018-08-29 13:00:00,29,13,3,2018-08-29 09:00:00,822261,1324327,0 days 04:00:00.000000000,53,85,40.7006447,-73.98738809999999
39474,A006,R079,00-03-01,5 AV/59 ST,NQRW,BMT,REGULAR,2523033,1336469,2017-09-04 10:00:00,4,10,1,2017-09-04 06:00:00,2523017,1336376,0 days 04:00:00.000000000,16,93,40.7649305,-73.9725117
604798,C003,R089,00-03-00,JAY ST-METROTEC,R,BMT,REGULAR,2314184,2962630,2017-09-12 08:00:00,12,8,2,2017-09-12 04:00:00,2314183,2962568,0 days 04:00:00.000000000,1,62,40.6923458,-73.987257
2624272,R402,R446,00-00-03,BROOK AV,6,IRT,REGULAR,1546699,559111,2016-09-17 05:00:00,17,5,6,2016-09-17 01:00:00,1546674,559092,0 days 04:00:00.000000000,25,19,40.8075666,-73.91926629999999
68438,R143,R032,02-00-00,TIMES SQ-42 ST,1237ACENQRSW,IRT,REGULAR,2252638,4101186,2018-09-17 16:00:00,17,16,1,2018-09-17 12:00:00,2252299,4100567,0 days 04:00:00.000000000,339,619,40.7545563,-73.9866737
1290682,R158,R084,00-05-03,59 ST COLUMBUS,1ABCD,IRT,REGULAR,882,0,2017-09-29 16:00:00,29,16,5,2017-09-29 12:00:00,881,0,0 days 04:00:00.000000000,1,0,40.7684839,-73.981807
2624016,R402,R446,00-00-02,BROOK AV,6,IRT,REGULAR,5124405,1153050,2018-08-31 21:00:00,31,21,5,2018-08-31 17:00:00,5124290,1153003,0 days 04:00:00.000000000,115,47,40.8075666,-73.91926629999999
1007219,N329,R201,00-03-00,WOODHAVEN BLVD,MR,IND,REGULAR,3351754,1756923,2016-09-07 08:19:37,7,8,3,2016-09-07 05:00:00,3350932,1756879,0 days 03:19:37.000000000,822,44,40.7333477,-73.8704271
293898,A049,R088,02-05-00,CORTLANDT ST,RNW,BMT,REGULAR,1058667485,22872086,2017-09-05 17:00:00,5,17,2,2017-09-05 13:00:00,1058667485,22872086,0 days 04:00:00.000000000,0,0,40.7110496,-74.0107859
1376312,R138,R293,00-03-05,34 ST-PENN STA,123ACE,IRT,REGULAR,1850284,1556232,2015-09-01 10:00:00,1,10,2,2015-09-01 06:00:00,1848869,1555923,0 days 04:00:00.000000000,1415,309,40.751056,-73.9903102
1382816,R139,R031,04-06-00,34 ST-PENN STA,123,IRT,REGULAR,250558,16936562,2015-09-11 04:00:00,11,4,5,2015-09-11 00:00:00,250557,16936550,0 days 04:00:00.000000000,1,12,40.751056,-73.9903102
2286397,R110,R027,01-00-02,WALL ST,23,IRT,REGULAR,5136466,2810566,2018-09-09 08:00:00,9,8,7,2018-09-09 04:00:00,5136453,2810559,0 days 04:00:00.000000000,13,7,40.7064046,-74.0095219
2251139,PTH20,R549,03-01-04,NEWARK HM HE,1,PTH,REGULAR,5559,165528,2015-08-31 00:49:51,31,0,1,2015-08-30 20:37:51,5559,165439,0 days 04:12:00.000000000,0,89,40.7126452,-74.00989799999999
2337179,R129,R321,00-00-00,18 ST,1,IRT,REGULAR,2632233,950643,2016-09-17 16:00:00,17,16,6,2016-09-17 12:00:00,2631806,950514,0 days 04:00:00.000000000,427,129,40.7412137,-73.9980293
1629777,N213,R154,00-00-04,TREMONT AV,BD,IND,REGULAR,600661,466611,2016-08-30 17:00:00,30,17,2,2016-08-30 13:00:00,600502,466436,0 days 04:00:00.000000000,159,175,40.8504263,-73.9052241
2801709,R532H,R328,02-00-03,METS-WILLETS PT,7,IRT,REGULAR,488520,1102891,2016-09-20 05:00:00,20,5,2,2016-09-20 01:00:00,488520,1102891,0 days 04:00:00.000000000,0,0,40.75239,-73.8437
168933,N077,R111,02-06-00,23 ST,CE,IND,REGULAR,978297,15228145,2016-09-06 12:00:00,6,12,2,2016-09-06 08:00:00,978293,15227466,0 days 04:00:00.000000000,4,679,40.7459544,-73.9979973
798991,D010,R394,00-00-02,BAY PKWY,N,BMT,REGULAR,5246663,8219355,2016-09-22 09:00:00,22,9,4,2016-09-22 05:00:00,5244988,8219303,0 days 04:00:00.000000000,1675,52,40.61188000000001,-73.98187109999999
293116,A049,R088,02-03-03,CORTLANDT ST,RNW,BMT,REGULAR,465073,268483,2017-08-28 17:00:00,28,17,1,2017-08-28 13:00:00,464842,268374,0 days 04:00:00.000000000,231,109,40.7110496,-74.0107859
2342152,R130,R321,01-06-01,18 ST,1,IRT,REGULAR,201429573,738434607,2016-09-10 16:00:00,10,16,6,2016-09-10 12:00:00,201429548,738434497,0 days 04:00:00.000000000,25,110,40.7412137,-73.9980293
647923,R610,R057,00-03-05,ATL AV-BARCLAY,2345BDNQR,IRT,REGULAR,2452370,222131,2018-09-06 12:00:00,6,12,4,2018-09-06 08:00:00,2451618,222090,0 days 04:00:00.000000000,752,41,40.683666,-73.97881
1421670,N080,R138,00-00-01,W 4 ST-WASH SQ,ABCDEFM,IND,REGULAR,15393449,9630140,2016-09-03 09:00:00,3,9,6,2016-09-03 05:00:00,15393409,9630085,0 days 04:00:00.000000000,40,55,40.7311072,-74.00123119999999
153520,A030,R083,01-00-02,23 ST,NR,BMT,REGULAR,4165417,1984400,2016-09-02 04:00:00,2,4,5,2016-09-02 00:00:00,4165397,1984397,0 days 04:00:00.000000000,20,3,40.7459544,-73.9979973
2430290,R210A,R044,03-06-00,BROOKLYN BRIDGE,456JZ,IRT,REGULAR,122771,132428,2016-08-30 16:00:00,30,16,2,2016-08-30 12:00:00,122751,132392,0 days 04:00:00.000000000,20,36,40.7130543,-74.00410269999999
2014750,N601,R319,00-03-01,LEXINGTON AV/63,F,IND,REGULAR,1738292,2103159,2016-09-11 04:00:00,11,4,7,2016-09-11 00:00:00,1738260,2103138,0 days 04:00:00.000000000,32,21,40.7648364,-73.9665819
17134,R244,R050,00-03-00,59 ST,456NQRW,IRT,REGULAR,1752932,4347341,2018-09-11 00:00:00,11,0,2,2018-09-10 20:00:00,1752881,4347321,0 days 04:00:00.000000000,51,20,40.762824,-73.967562
374865,R116,R030,00-00-00,CHAMBERS ST,123,IRT,REGULAR,6270901,8879803,2017-09-27 20:00:00,27,20,3,2017-09-27 16:00:00,6269806,8879185,0 days 04:00:00.000000000,1095,618,40.7155134,-74.0092227
1423094,N080,R138,00-03-00,W 4 ST-WASH SQ,ABCDEFM,IND,REGULAR,6225562,543674,2016-09-06 21:00:00,6,21,2,2016-09-06 17:00:00,6224820,543625,0 days 04:00:00.000000000,742,49,40.7311072,-74.00123119999999
2628428,R405,R447,01-00-00,CYPRESS AV,6,IRT,REGULAR,1861858,3745850,2018-09-09 09:00:00,9,9,7,2018-09-09 05:00:00,1861835,3745806,0 days 04:00:00.000000000,23,44,40.8055571,-73.91449879999999
1075529,N001,R173,01-06-02,INWOOD-207 ST,A,IND,REGULAR,655791,495987,2017-09-01 17:00:00,1,17,5,2017-09-01 13:00:00,655632,495858,0 days 04:00:00.000000000,159,129,40.8676635,-73.9212009
179484,R132,R190,01-00-03,23 ST,1,IRT,REGULAR,6905469,12466020,2018-08-28 17:00:00,28,17,2,2018-08-28 13:00:00,6905102,12465625,0 days 04:00:00.000000000,367,395,40.7459544,-73.9979973
237101,A042,R086,01-00-04,PRINCE ST,NRW,BMT,REGULAR,8367,23245,2018-09-21 08:00:00,21,8,5,2018-09-21 04:00:00,8353,23083,0 days 04:00:00.000000000,14,162,40.7242266,-73.99775509999999
2869239,R625,R062,01-00-02,CROWN HTS-UTICA,34,IRT,REGULAR,3953123,2762173,2015-09-15 16:00:00,15,16,2,2015-09-15 12:00:00,3952890,2761968,0 days 04:00:00.000000000,233,205,40.6689469,-73.93183379999999
1209172,N037,R314,00-00-00,103 ST,BC,IND,REGULAR,11412468,9837354,2015-09-22 17:00:00,22,17,2,2015-09-22 13:00:00,11411983,9836942,0 days 04:00:00.000000000,485,412,40.7902308,-73.9477564
1550434,N181A,R464,00-06-02,AQUEDUCT RACETR,A,IND,REGULAR,920654,90893,2018-09-21 04:00:00,21,4,5,2018-09-21 00:00:00,920629,90892,0 days 04:00:00.000000000,25,1,40.6721498,-73.8356843
571307,B027,R136,00-00-05,SHEEPSHEAD BAY,BQ,BMT,REGULAR,10752179,17886404,2018-09-18 05:00:00,18,5,2,2018-09-18 01:00:00,10752162,17886363,0 days 04:00:00.000000000,17,41,40.5867923,-73.95424229999999
1846358,N343,R019,00-00-00,JAMAICA 179 ST,F,IND,REGULAR,2640273,9542187,2018-09-14 08:00:00,14,8,5,2018-09-14 04:00:00,2639985,9542033,0 days 04:00:00.000000000,288,154,40.712646,-73.783817
579420,B031,R172,01-00-03,BRIGHTON BEACH,BQ,BMT,REGULAR,3217382,2332620,2016-08-31 04:00:00,31,4,3,2016-08-31 00:00:00,3217373,2332616,0 days 04:00:00.000000000,9,4,40.5776648,-73.9612769
1054257,K022,R402,00-00-01,SENECA AVE,M,BMT,REGULAR,982640,753490,2017-09-25 09:00:00,25,9,1,2017-09-25 05:00:00,982607,753482,0 days 04:00:00.000000000,33,8,40.703688,-73.909173
2256792,PTH22,R540,00-00-01,PATH NEW WTC,1,PTH,REGULAR,88599,168663,2018-09-15 18:41:29,15,18,6,2018-09-15 14:29:29,88458,168567,0 days 04:12:00.000000000,141,96,40.7126452,-74.00989799999999
2811273,R532H,R328,02-06-00,METS-WILLETS PT,7,IRT,REGULAR,32844,270557,2017-09-06 13:00:00,6,13,3,2017-09-06 09:00:00,32837,269906,0 days 04:00:00.000000000,7,651,40.75239,-73.8437
2901565,R644,R135,01-00-01,NEWKIRK AV,25,IRT,REGULAR,225970,1902280,2017-09-09 05:00:00,9,5,6,2017-09-09 01:00:00,225970,1902266,0 days 04:00:00.000000000,0,14,40.6399939,-73.94842059999999
2898982,R643,R135,00-00-00,NEWKIRK AV,25,IRT,REGULAR,13419779,1145404,2018-09-03 09:00:00,3,9,1,2018-09-03 05:00:00,13419445,1145394,0 days 04:00:00.000000000,334,10,40.6399939,-73.94842059999999
2494248,R241A,R048,00-00-01,GRD CNTRL-42 ST,4567S,IRT,REGULAR,4213434,2978669,2017-09-10 17:00:00,10,17,7,2017-09-10 13:00:00,4213197,2978619,0 days 04:00:00.000000000,237,50,40.7583252,-73.9919565
1467673,N111,R284,00-00-02,CLINTON-WASH AV,C,IND,REGULAR,3257915,479339,2016-09-09 08:00:00,9,8,5,2016-09-09 04:00:00,3257823,479296,0 days 04:00:00.000000000,92,43,40.6834989,-73.9668944
1032259,J037,R009,00-06-00,121 ST,JZ,BMT,REGULAR,904859,755005,2015-09-06 08:00:00,6,8,7,2015-09-06 04:00:00,904809,755000,0 days 04:00:00.000000000,50,5,40.7006094,-73.8281286
2502700,R242A,R049,02-00-00,51 ST,6,IRT,REGULAR,900328,5128440,2015-09-10 12:00:00,10,12,4,2015-09-10 08:00:00,900319,5127958,0 days 04:00:00.000000000,9,482,40.757135,-73.9719119
2111505,PTH04,R551,00-01-01,GROVE STREET,1,PTH,REGULAR,1444494,675705,2016-08-27 19:05:25,27,19,6,2016-08-27 14:53:25,1444488,675481,0 days 04:12:00.000000000,6,224,40.7196062,-74.04263569999999
1228642,R168A,R168,00-03-00,96 ST,123,IRT,REGULAR,3274836,6856037,2016-09-10 17:00:00,10,17,6,2016-09-10 13:00:00,3274625,6855535,0 days 04:00:00.000000000,211,502,40.7839341,-73.9476064
1913890,N501A,R020,02-03-01,47-50 STS ROCK,BDFM,IND,REGULAR,3697701,2701601,2018-08-25 12:00:00,25,12,6,2018-08-25 08:00:00,3697672,2701552,0 days 04:00:00.000000000,29,49,40.75866300000001,-73.981331
2744810,R523,R147,00-00-03,61 ST WOODSIDE,7,IRT,REGULAR,2050890,3894853,2017-09-19 21:00:00,19,21,2,2017-09-19 17:00:00,2050746,3893765,0 days 04:00:00.000000000,144,1088,40.7457078,-73.90290399999999
677735,C015,R454,00-00-00,PROSPECT AV,R,BMT,REGULAR,875957,10228453,2016-09-23 20:00:00,23,20,5,2016-09-23 16:00:00,875917,10227918,0 days 04:00:00.000000000,40,535,40.7006447,-73.98738809999999
832786,R155,R116,01-00-06,50 ST,1,IRT,REGULAR,4419742,6309829,2016-09-21 04:00:00,21,4,3,2016-09-21 00:00:00,4419711,6309821,0 days 04:00:00.000000000,31,8,40.7620363,-73.98632909999999
1247393,N044,R187,00-00-01,81 ST-MUSEUM,BC,IND,REGULAR,13879805,2778972,2015-09-12 13:00:00,12,13,6,2015-09-12 09:00:00,13879588,2778932,0 days 04:00:00.000000000,217,40,40.7819786,-73.9720136
1110137,N012,R035,01-06-02,168 ST,AC1,IND,REGULAR,1800790,1004184,2017-09-02 08:00:00,2,8,6,2017-09-02 04:00:00,1800759,1004168,0 days 04:00:00.000000000,31,16,40.8408568,-73.9397731
1199353,R303,R324,00-00-00,116 ST,23,IRT,REGULAR,5364070,4695395,2016-09-03 09:00:00,3,9,6,2016-09-03 05:00:00,5364017,4695357,0 days 04:00:00.000000000,53,38,40.7986377,-73.9416325
2711365,R511,R091,00-00-02,36 AV,NQW,BMT,REGULAR,2217916,2594218,2017-09-27 16:00:00,27,16,3,2017-09-27 12:00:00,2217646,2593976,0 days 04:00:00.000000000,270,242,40.7566357,-73.9296452
1067843,N409,R268,00-00-00,METROPOLITAN AV,GL,IND,REGULAR,4556884,10769658,2017-09-24 09:00:00,24,9,7,2017-09-24 05:00:00,4556870,10769616,0 days 04:00:00.000000000,14,42,40.7139225,-73.9493905
2266814,PTH22,R540,02-02-03,PATH NEW WTC,1,PTH,REGULAR,7794,5781,2017-09-20 20:29:33,20,20,3,2017-09-20 16:17:33,5876,5670,0 days 04:12:00.000000000,1918,111,40.7126452,-74.00989799999999
110505,N506,R022,00-00-00,34 ST-HERALD SQ,BDFMNQR,IND,REGULAR,3385384,5476501,2015-09-25 20:00:00,25,20,5,2015-09-25 16:00:00,3384204,5475148,0 days 04:00:00.000000000,1180,1353,40.7488979,-73.98878859999999
1044523,JFK03,R536,00-00-05,JFK JAMAICA CT1,E,IND,REGULAR,914,792,2016-09-21 13:00:00,21,13,3,2016-09-21 09:00:00,672,602,0 days 04:00:00.000000000,242,190,40.7005728,-73.8077071
1361803,N073,R013,02-00-07,34 ST-PENN STA,ACE,IND,REGULAR,153276,93665,2018-09-04 12:00:00,4,12,2,2018-09-04 08:00:00,152944,93640,0 days 04:00:00.000000000,332,25,40.751056,-73.9903102
2151788,PTH07,R550,00-01-03,CITY / BUS,1,PTH,REGULAR,78016,16425,2015-08-29 10:25:49,29,10,6,2015-08-29 06:13:49,78003,16423,0 days 04:12:00.000000000,13,2,40.7600585,-73.9994822
2943491,S102,R165,00-05-00,TOMPKINSVILLE,1,SRT,REGULAR,667,0,2015-09-18 10:00:00,18,10,5,2015-09-18 06:00:00,667,0,0 days 04:00:00.000000000,0,0,40.6376266,-74.07502889999999
779333,E003,R369,00-05-01,FT HAMILTON PKY,D,BMT,REGULAR,1131480,1674921,2018-08-26 01:00:00,26,1,7,2018-08-25 21:00:00,1131461,1674862,0 days 04:00:00.000000000,19,59,40.6511827,-73.9758301
